xplane,yplane,xrocket,yrocket,vc,xnc,rtm,time
42055.91,11999.98,8212.707,3335.975,3958.44343690426,2977.88676224831,34984.0830608122,
42089,11999.98,8260.05,3353.235,3958.56673252888,2973.51961206614,34966.6765554952,
42122.55,11999.97,8308.245,3370.794,3958.69154676305,2969.09180482259,34949.0336057022,
42156.69,11999.97,8354.475,3387.573,3958.81839815561,2964.58461744827,34931.0769796651,
42189.43,11999.97,8401.712,3404.708,3958.93941103861,2960.2781678855,34913.8624962273,
42222.88,11999.97,8449.196,3421.91,3959.06292091828,2955.87607039967,34896.2763926251,
42256.5,11999.97,8495.147,3438.5,3959.1867868034,2951.45436660058,34878.603443199,
42289.02,11999.97,8543.125,3455.833,3959.30607600138,2947.18946162923,34861.5093916155,
42322.98,11999.97,8590.835,3473.035,3959.43066288516,2942.72822956403,34843.6643681559,
42356.74,11999.97,8638.468,3490.179,3959.55417771369,2938.29837448684,34825.9261611114,
42390.44,11999.97,8684.693,3506.764,3959.67715013083,2933.8810063398,34808.2221285506,
42423.14,11999.97,8731.376,3523.494,3959.79592937095,2929.60763452349,34791.0490461723,
42456.15,11999.97,8778.789,3540.472,3959.91565531527,2925.29358093219,34773.7115437099,
42489.67,12001.66,8825.474,3557.151,3960.02188552047,2921.46022586378,34756.5154512647,
42522.68,12004.95,8872.682,3574.006,3960.11141973575,2918.22525381983,34739.9874100806,
42556.05,12009.95,8920.979,3591.253,3960.18682990665,2915.49768165332,34723.6836219913,
42590.19,12016.82,8966.813,3607.563,3960.24829021418,2913.27269469269,34707.4286365256,
42622.57,12024.9,9014.044,3624.385,3960.29197374038,2911.69018016234,34692.3882994417,
42655.95,12034.9,9061.113,3641.14,3960.32212396977,2910.59740800354,34677.2938185568,
42689.21,12046.53,9108.68,3658.077,3960.33721923454,2910.05013012608,34662.6542638418,
42722.82,12059.97,9155.958,3674.906,3960.33726961491,2910.04830340824,34648.2693100135,
42756.23,12075.01,9203.173,3691.716,3960.32219848089,2910.5947068724,34634.3780622913,
42789.6,12091.7,9249.794,3708.31,3960.29211927871,2911.68490626806,34620.9114703654,
42822.54,12109.8,9297.548,3725.338,3960.24768701567,2913.29454034379,34608.0095780731,
42856.29,12130.06,9343.972,3741.882,3960.18697513935,2915.49242603356,34595.2082876443,
42889.1,12151.36,9393.251,3759.516,3960.11317937255,2918.16163851164,34583.1598581928,
42923.94,12175.81,9438.938,3775.822,3960.01885791363,2921.56955110836,34570.8114664648,
42956.23,12200.03,9486.026,3792.677,3959.91673315989,2925.25471295585,34559.7506926798,
42989.53,12226.67,9534.126,3809.941,3959.79657559509,2929.58436716935,34548.759613284,
43023.54,12255.62,9580.037,3826.412,3959.65818140996,2934.56284816751,34537.9607668887,
43056.02,12284.84,9627.361,3843.449,3959.51133258787,2939.83580623017,34528.0472758819,
43089.5,12316.65,9674.713,3860.535,3959.34469598099,2945.80730735815,34518.2492742346,
43123.01,12350.16,9721.246,3877.352,3959.16251765896,2952.32126182097,34508.8702835201,
43155.95,12383.09,9768.335,3894.421,3958.98321531564,2958.71769691712,34499.6631956995,
